feature,raw_abs_corr,raw_mi,log_abs_corr,log_mi,poly_abs_corr,poly_mi,best_transform
station_ST-3058,0.00499381129447163,0.0019144771287864515,0.004993811294471521,0.0019144771287864515,0.00499381129447163,0.0013751166190045794,raw
station_ST-1032,0.005279108304092851,0.0019105230263525286,0.005279108304092335,0.0019105230263525286,0.005279108304092851,0.0013910991757928315,raw
station_ST-3076,0.004682807323559551,0.0019076975719114486,0.004682807323559138,0.0019076975719114486,0.004682807323559551,0.001274647501612769,raw
station_ST-1028,0.004874769051958407,0.0019044652385797889,0.004874769051958258,0.0019044652385797889,0.004874769051958407,0.0013560707220294788,raw
station_ST-2262,0.0035038198594249765,0.001898307895331186,0.0035038198594246265,0.001898307895331186,0.0035038198594249765,0.0013069848809896811,raw
station_ST-472,0.0031523138942964944,0.0018951326273350944,0.003152313894295977,0.0018951326273350944,0.0031523138942964944,0.001375083180522374,raw
station_ST-1031,0.003984122129242766,0.0018867109744675759,0.003984122129242718,0.0018867109744675759,0.003984122129242766,0.00135172459003563,raw
station_ST-2776,0.005522237734763502,0.0018802317570632,0.005522237734762832,0.0018802317570632,0.005522237734763502,0.0014266960075675073,raw
station_ST-1329,0.00141963391623435,0.0018786052915702456,0.0014196339162343477,0.0018786052915702456,0.00141963391623435,0.0013382376739672353,raw
near_subway_200m,,0.0018767733049305235,,0.0018767733049305235,,0.001346270187752019,raw
commute_peak_in,,0.0018767733049305235,,0.0018767733049305235,,0.001346270187752019,raw
commute_peak_out,,0.0018767733049305235,,0.0018767733049305235,,0.001346270187752019,raw
is_airport_rail,,0.0018767733049305235,,0.0018767733049305235,,0.001346270187752019,raw
is_ktx,,0.0018767733049305235,,0.0018767733049305235,,0.001346270187752019,raw
station_ST-2246,0.002478972648500311,0.0018767088345539307,0.0024789726485002083,0.0018767088345539307,0.002478972648500311,0.0013821152648461066,raw
station_ST-1490,0.0015563352798561728,0.001876665964333668,0.0015563352798560746,0.001876665964333668,0.0015563352798561728,0.00133072581460425,raw
station_ST-1023,0.011360334638220162,0.0018704228446653204,0.011360334638219552,0.0018704228446653204,0.011360334638220162,0.001466445486241419,raw
hour_business,0.006973279819678643,0.0018667770973657127,0.006973279819678374,0.0018667770973657127,0.006973279819678643,0.00010657376890321757,raw
station_ST-2250,0.003415556719932375,0.001865544072737535,0.0034155567199321275,0.001865544072737535,0.003415556719932375,0.0013127055841453128,raw
station_ST-2780,0.0035110877185213353,0.0018556493776875627,0.003511087718521095,0.0018556493776875627,0.0035110877185213353,0.0012036490432505431,raw
station_ST-2253,0.000332424868789411,0.001852314882788697,0.00033242486878939877,0.001852314882788697,0.000332424868789411,0.001424839754046836,raw
station_ST-2956,0.002420825193291006,0.0018499478737963315,0.0024208251932909997,0.0018499478737963315,0.002420825193291006,0.001380541558642534,raw
station_ST-2470,0.0017678574226289525,0.001843044872195776,0.0017678574226288846,0.001843044872195776,0.0017678574226289525,0.0013456521446268965,raw
station_ST-1481,0.004679008651695551,0.00183556500004034,0.0046790086516950635,0.00183556500004034,0.004679008651695551,0.001289383305253189,raw
station_ST-1483,0.002137185187825858,0.0018230846831599479,0.0021371851878257955,0.0018230846831599479,0.002137185187825858,0.001197781241370599,raw
station_ST-2241,0.003623930181709088,0.001815880828508476,0.0036239301817088307,0.001815880828508476,0.003623930181709088,0.0012819280497629038,raw
station_ST-475,0.0053813128368785795,0.0018083914367776899,0.005381312836878395,0.0018083914367776899,0.0053813128368785795,0.001321995415612065,raw
station_ST-2779,0.003593892759072436,0.0017999062568145874,0.00359389275907241,0.0017999062568145874,0.003593892759072436,0.0012821612436146879,raw
station_ST-1024,0.007153485822272037,0.0017974714332238406,0.007153485822271884,0.0017974714332238406,0.007153485822272037,0.0014742095381610199,raw
station_ST-2242,0.005625771398291194,0.001789680600386312,0.0056257713982910814,0.001789680600386312,0.005625771398291194,0.0012428386511196265,raw
station_ST-1029,0.006890652850427724,0.00177843849520265,0.0068906528504275285,0.00177843849520265,0.006890652850427724,0.0011608185105593805,raw
station_ST-461,0.0010103518628763884,0.0017761582038184898,0.001010351862876278,0.0017761582038184898,0.0010103518628763884,0.001305383179852626,raw
station_ST-2824,0.006164364208251807,0.0017235809399434032,0.006164364208251368,0.0017235809399434032,0.006164364208251807,0.00138591673251387,raw
station_ST-2257,0.0006984197421360564,0.0017103475795456902,0.0006984197421359868,0.0017103475795456902,0.0006984197421360564,0.0011732375533597406,raw
station_ST-2247,0.01415549759765915,0.0016918458673522707,0.01415549759765891,0.0016918458673522707,0.01415549759765915,0.0012413278963698815,raw
station_ST-1038,0.007491473305369889,0.0016881248484841294,0.007491473305369688,0.0016881248484841294,0.007491473305369889,0.0015146521594022744,raw
station_ST-1482,0.005135993483166897,0.00168651990041635,0.005135993483166778,0.00168651990041635,0.005135993483166897,0.0012682590743420263,raw
is_night_0,0.017967793164915757,0.0016633149198170827,0.01796779316491545,0.0016633149198170827,0.017967793164915757,0.0016463702195395058,raw
is_daytime_1,0.017967793164915757,0.0016633149198170827,0.01796779316491545,0.0016633149198170827,0.017967793164915757,0.0016463702195395058,raw
station_ST-1034,0.00807131819677114,0.0016407832270726175,0.008071318196770733,0.0016407832270726175,0.00807131819677114,0.0012851715223085591,raw
station_ST-479,0.005549494330887146,0.0015691734741221097,0.005549494330887002,0.0015691734741221097,0.005549494330887146,0.0010564550613825219,raw
station_ST-2264,0.03748639701235578,0.0014142328734312315,0.03748639701235578,0.0014142328734312315,0.03748639701235578,0.0013541475282430326,raw
