측정일시,권역코드,권역명,측정소코드,측정소명,미세먼지_1시간,미세먼지_24시간,초미세먼지,오존,이산화질소,일산화탄소,아황산가스
202501121200,101,서북권,111181,은평구,48,36,32,0.0158,0.0306,0.67,0.0034
202501121300,101,서북권,111181,은평구,38,37,22,0.0177,0.0306,0.65,0.0035
202501121400,101,서북권,111181,은평구,33,37,18,0.024,0.0215,0.5,0.0035
202501121500,101,서북권,111181,은평구,34,36,21,0.0277,0.017,0.46,0.0035
202501121600,101,서북권,111181,은평구,35,35,27,0.025,0.0208,0.5,0.0035
202501121700,101,서북권,111181,은평구,41,36,27,0.0291,0.0161,0.47,0.0037
202501121800,101,서북권,111181,은평구,40,37,25,0.0264,0.0196,0.51,0.0038
202501121900,101,서북권,111181,은평구,39,38,27,0.0194,0.0291,0.61,0.0034
202501122000,101,서북권,111181,은평구,37,39,24,0.0079,0.0386,0.58,0.0032
202501122100,101,서북권,111181,은평구,38,39,24,0.0099,0.0326,0.56,0.003
202501122200,101,서북권,111181,은평구,33,38,23,0.0113,0.0294,0.53,0.003
202501122300,101,서북권,111181,은평구,35,37,25,0.0082,0.033,0.6,0.003
202501130000,101,서북권,111181,은평구,38,36,26,0.0097,0.0314,0.62,0.003
202501130100,101,서북권,111181,은평구,47,38,27,0.0132,0.0264,0.63,0.003
202501130200,101,서북권,111181,은평구,43,40,27,0.0136,0.0255,0.62,0.0029
202501130300,101,서북권,111181,은평구,38,40,28,0.013,0.0263,0.63,0.003
202501130400,101,서북권,111181,은평구,40,41,27,0.0109,0.0301,0.69,0.003
202501130500,101,서북권,111181,은평구,35,39,28,0.0099,0.0301,0.62,0.0029
202501130600,101,서북권,111181,은평구,44,39,33,0.0082,0.0348,0.7,0.003
202501130700,101,서북권,111181,은평구,45,40,31,0.0072,0.038,0.7,0.0031
202501130800,101,서북권,111181,은평구,53,43,38,0.0063,0.0386,0.7,0.0033
202501130900,101,서북권,111181,은평구,46,44,34,0.0097,0.0349,0.66,0.0033
202501131000,101,서북권,111181,은평구,48,45,34,0.014,0.0298,0.61,0.0034
202501131100,101,서북권,111181,은평구,52,47,33,0.0146,0.0301,0.62,0.0037
202501131200,101,서북권,111181,은평구,51,47,38,0.0114,0.0364,0.71,0.004
202501131300,101,서북권,111181,은평구,59,49,39,0.0101,0.0416,0.78,0.0041
202501131400,101,서북권,111181,은평구,64,52,38,0.0119,0.039,0.73,0.004
202501131500,101,서북권,111181,은평구,64,55,35,0.0202,0.0276,0.66,0.0042
202501131600,101,서북권,111181,은평구,59,57,30,0.0193,0.0283,0.66,0.0041
202501131700,101,서북권,111181,은평구,60,58,37,0.0188,0.0275,0.63,0.0035
202501131800,101,서북권,111181,은평구,58,58,40,0.0131,0.0295,0.64,0.0032
202501131900,101,서북권,111181,은평구,52,56,39,0.0099,0.0319,0.71,0.0031
202501132000,101,서북권,111181,은평구,59,57,42,0.0084,0.0313,0.73,0.003
202501132100,101,서북권,111181,은평구,58,57,43,0.0087,0.0286,0.74,0.0031
202501132200,101,서북권,111181,은평구,57,57,42,0.007,0.0298,0.76,0.003
202501132300,101,서북권,111181,은평구,59,58,42,0.0055,0.0309,0.81,0.003
202501140000,101,서북권,111181,은평구,57,58,39,0.0077,0.0276,0.76,0.0031
202501140100,101,서북권,111181,은평구,66,60,45,0.0082,0.0274,0.78,0.003
202501140200,101,서북권,111181,은평구,63,60,47,0.0057,0.0276,0.81,0.003
202501140300,101,서북권,111181,은평구,65,61,47,0.0075,0.0284,0.82,0.0031
202501140400,101,서북권,111181,은평구,61,62,47,0.0087,0.026,0.76,0.003
202501140500,101,서북권,111181,은평구,63,61,48,0.0072,0.0296,0.77,0.003
