날짜,역명,구분,새벽,출근,낮,퇴근,출근_ratio,퇴근_ratio,commute_balance,위도,경도
2024-01-18,구파발,승차,2072,10429,7427,3062,0.45363201391909524,0.13318834275772073,0.5460677488696167,37.636763,126.918821
2024-01-18,구파발,하차,5119,2828,6776,7452,0.12753100338218715,0.336054114994363,-0.44980544747081713,37.636763,126.918821
2024-01-18,연신내,승차,3674,16076,12051,4343,0.4447764497565294,0.12015825586542718,0.5746118810911406,37.61878,126.9213
2024-01-18,연신내,승차,3674,16076,12051,4343,0.4447764497565294,0.12015825586542718,0.5746118810911406,37.618636,126.920625
2024-01-18,연신내,승차,3674,16076,12051,4343,0.4447764497565294,0.12015825586542718,0.5746118810911406,37.619229,126.921038
2024-01-18,연신내,하차,8134,3368,10527,12559,0.09737481207355152,0.3631028102231988,-0.5770703836252904,37.61878,126.9213
2024-01-18,연신내,하차,8134,3368,10527,12559,0.09737481207355152,0.3631028102231988,-0.5770703836252904,37.618636,126.920625
2024-01-18,연신내,하차,8134,3368,10527,12559,0.09737481207355152,0.3631028102231988,-0.5770703836252904,37.619229,126.921038
2024-01-18,불광,승차,1554,7160,6074,2535,0.41332332736823874,0.14633723950816832,0.47705002578648786,37.610873,126.92939
2024-01-18,불광,승차,1554,7160,6074,2535,0.41332332736823874,0.14633723950816832,0.47705002578648786,37.610553,126.92982
2024-01-18,불광,하차,3698,2386,6556,5838,0.1291265288451131,0.31594328390518456,-0.41974708171206226,37.610873,126.92939
2024-01-18,불광,하차,3698,2386,6556,5838,0.1291265288451131,0.31594328390518456,-0.41974708171206226,37.610553,126.92982
2024-01-18,녹번,승차,1119,9367,5001,1800,0.54185225892289,0.10412448660843408,0.6776215635354168,37.600927,126.935756
2024-01-18,녹번,하차,4087,1455,3813,6235,0.09332905708787684,0.39993585631815265,-0.6215864759427828,37.600927,126.935756
2024-01-18,응암,승차,1476,9772,5716,2100,0.5125891733109526,0.11015526647083508,0.6462264150943396,37.598605,126.915577
2024-01-18,응암,하차,4797,1679,5046,7388,0.08878900052882073,0.3906927551560021,-0.6296459688982022,37.598605,126.915577
2024-01-18,역촌,승차,299,1956,1341,504,0.4770731707317073,0.12292682926829268,0.5902439024390244,37.606021,126.922744
2024-01-18,역촌,하차,1161,665,1381,1732,0.13464264021056893,0.3506782749544442,-0.4451397580308719,37.606021,126.922744
2024-01-18,불광,승차,468,1585,1861,880,0.3306216103462662,0.1835627868168544,0.28600405679513186,37.610873,126.92939
2024-01-18,불광,승차,468,1585,1861,880,0.3306216103462662,0.1835627868168544,0.28600405679513186,37.610553,126.92982
2024-01-18,불광,하차,876,629,1641,1467,0.1363537827877737,0.31801430739215264,-0.3998091603053435,37.610873,126.92939
2024-01-18,불광,하차,876,629,1641,1467,0.1363537827877737,0.31801430739215264,-0.3998091603053435,37.610553,126.92982
2024-01-18,독바위,승차,197,1625,936,285,0.5340124876766349,0.09365757476174827,0.7015706806282722,37.618456,126.933031
2024-01-18,독바위,하차,848,257,802,1214,0.08234540211470683,0.38897789170137775,-0.6505778382053025,37.618456,126.933031
2024-01-18,구산,승차,694,4195,2724,877,0.49411071849234395,0.1032979976442874,0.6541798107255521,37.611377,126.91727
2024-01-18,구산,하차,1403,675,2192,2276,0.10311640696608616,0.3476932477849068,-0.542527956624873,37.611377,126.91727
2024-01-18,디지털미디어시티,승차,1507,6448,4132,4555,0.38745343107799546,0.27370508352361494,0.17204398800327184,37.576958,126.898609
2024-01-18,디지털미디어시티,승차,1507,6448,4132,4555,0.38745343107799546,0.27370508352361494,0.17204398800327184,37.576108,126.901391
2024-01-18,디지털미디어시티,승차,1507,6448,4132,4555,0.38745343107799546,0.27370508352361494,0.17204398800327184,37.577475,126.900453
2024-01-18,디지털미디어시티,하차,3246,6562,3612,4911,0.35797283290600623,0.26790682450493697,0.14390307678898284,37.576958,126.898609
2024-01-18,디지털미디어시티,하차,3246,6562,3612,4911,0.35797283290600623,0.26790682450493697,0.14390307678898284,37.576108,126.901391
2024-01-18,디지털미디어시티,하차,3246,6562,3612,4911,0.35797283290600623,0.26790682450493697,0.14390307678898284,37.577475,126.900453
2024-01-19,구파발,승차,2173,10113,7877,3479,0.42775568902800104,0.14715337111919466,0.4880812242495586,37.636763,126.918821
2024-01-19,구파발,하차,5092,2869,7111,7532,0.12692443815253937,0.3332153601132543,-0.4483222767041631,37.636763,126.918821
2024-01-19,연신내,승차,4020,15576,13061,5132,0.4121834396252878,0.1358067162401757,0.5043461464168437,37.61878,126.9213
2024-01-19,연신내,승차,4020,15576,13061,5132,0.4121834396252878,0.1358067162401757,0.5043461464168437,37.618636,126.920625
2024-01-19,연신내,승차,4020,15576,13061,5132,0.4121834396252878,0.1358067162401757,0.5043461464168437,37.619229,126.921038
2024-01-19,연신내,하차,8598,3485,11484,12787,0.09586290366947241,0.35173570996314024,-0.5716568338249755,37.61878,126.9213
2024-01-19,연신내,하차,8598,3485,11484,12787,0.09586290366947241,0.35173570996314024,-0.5716568338249755,37.618636,126.920625
2024-01-19,연신내,하차,8598,3485,11484,12787,0.09586290366947241,0.35173570996314024,-0.5716568338249755,37.619229,126.921038
2024-01-19,불광,승차,1613,6801,6508,2822,0.3832844905320108,0.15903967538322814,0.41348851709446116,37.610873,126.92939
2024-01-19,불광,승차,1613,6801,6508,2822,0.3832844905320108,0.15903967538322814,0.41348851709446116,37.610553,126.92982
2024-01-19,불광,하차,3717,2525,6913,5856,0.13281784230182525,0.3080321918889064,-0.39744660541701465,37.610873,126.92939
2024-01-19,불광,하차,3717,2525,6913,5856,0.13281784230182525,0.3080321918889064,-0.39744660541701465,37.610553,126.92982
2024-01-19,녹번,승차,1127,8785,5221,2144,0.5084794813914453,0.1240956184522776,0.6076493732271937,37.600927,126.935756
